dataset,cv,type
Banknote Authentication,0.353199785532429,DTC Proportional
Banknote Authentication,0.35978880975616706,DTC Inverse
Banknote Authentication,0.40213812017477657,BVA Proportional
Banknote Authentication,0.3720197908506014,BVA Inverse
Banknote Authentication,0.3281215680291238,RS
Banknote Authentication,0.31975401626841776,BS
Banknote Authentication,0.4599097805447416,QBS
Banknote Authentication,0.3850691157151806,EBS
Breast Cancer Wisconsin,0.21910060029940304,DTC Proportional
Breast Cancer Wisconsin,0.2125540043799298,DTC Inverse
Breast Cancer Wisconsin,0.24045669304464511,BVA Proportional
Breast Cancer Wisconsin,0.2322486623264684,BVA Inverse
Breast Cancer Wisconsin,0.10853533262474307,RS
Breast Cancer Wisconsin,0.10469756892625061,BS
Breast Cancer Wisconsin,0.4084516579272461,QBS
Breast Cancer Wisconsin,0.38091860934949384,EBS
Dry Bean,0.2674879854238401,DTC Proportional
Dry Bean,0.26374523027914126,DTC Inverse
Dry Bean,0.295650073888456,BVA Proportional
Dry Bean,0.2533679184405669,BVA Inverse
Dry Bean,0.15650603524176246,RS
Dry Bean,0.14579919866413507,BS
Dry Bean,0.433960211048427,QBS
Dry Bean,0.5062808684017536,EBS
Iranian Churn,0.28914391947491954,DTC Proportional
Iranian Churn,0.2719326583640017,DTC Inverse
Iranian Churn,0.2843894580131689,BVA Proportional
Iranian Churn,0.26842787798226613,BVA Inverse
Iranian Churn,0.16354218027418388,RS
Iranian Churn,0.1540437342289468,BS
Iranian Churn,0.48656829037066524,QBS
Iranian Churn,0.30014493388536473,EBS
Iris,0.33825080155883097,DTC Proportional
Iris,0.3631345526862756,DTC Inverse
Iris,0.3330657208196992,BVA Proportional
Iris,0.3326154433823889,BVA Inverse
Iris,0.3201108000028764,RS
Iris,0.31297152690616503,BS
Iris,0.419554348602246,QBS
Iris,0.37729452383558326,EBS
Mammography,0.33666282803906794,DTC Proportional
Mammography,0.3329927491881449,DTC Inverse
Mammography,0.3023360613376007,BVA Proportional
Mammography,0.26849344754776067,BVA Inverse
Mammography,0.2546938673835449,RS
Mammography,0.23823647585033644,BS
Mammography,0.7915974717334887,QBS
Mammography,0.767743210414948,EBS
Phishing Websites,0.12747188401088945,DTC Proportional
Phishing Websites,0.14440391973732435,DTC Inverse
Phishing Websites,0.17801705875264176,BVA Proportional
Phishing Websites,0.17037065398961476,BVA Inverse
Phishing Websites,0.11429989177833105,RS
Phishing Websites,0.10286225595736595,BS
Phishing Websites,0.3163978270040462,QBS
Phishing Websites,0.2582307289952908,EBS
Pima Indians Diabetes,0.24686214663779618,DTC Proportional
Pima Indians Diabetes,0.22866871359489085,DTC Inverse
Pima Indians Diabetes,0.28770620238860345,BVA Proportional
Pima Indians Diabetes,0.2660279273024589,BVA Inverse
Pima Indians Diabetes,0.21820595558230524,RS
