dataset,BVA Inverse,BVA Proportional,DTC Inverse,DTC Proportional,RS,BS,QBS,EBS
Banknote Authentication,0.68,0.72,0.47,0.81,0.77,0.75,0.85,0.81
Breast Cancer Wisconsin,0.48,0.48,0.51,0.5,0.55,0.51,0.91,0.78
Dry Bean,0.1,0.11,0.1,0.18,0.15,0.16,0.14,0.21
Iranian Churn,0.76,0.72,0.56,0.64,0.64,0.71,0.73,0.77
Iris,0.5,0.53,0.33,0.44,0.52,0.48,0.75,0.75
Mammography,0.58,0.56,0.62,0.81,0.77,0.63,0.95,0.66
Phishing Websites,0.76,0.80,0.79,0.81,0.81,0.81,1.0,0.89
Pima Indians Diabetes,0.68,0.67,0.57,0.68,0.72,0.69,0.74,0.86
Seeds,0.4,0.38,0.33,0.38,0.42,0.42,0.64,0.58
"Sonar, Mines vs. Rocks",0.51,0.5,0.46,0.37,0.49,0.52,0.52,0.56
Vertebral Column,0.42,0.31,0.34,0.28,0.54,0.52,0.59,0.55
Wireless Localisation,0.21,0.19,0.28,0.23,0.26,0.25,0.4,0.31
